compound_formula,substructure,Tc_anchor_K,Hc2_T_anchor,T_K,H_T,withheld_reduced_field,refusal_flag,withheld_log_Jc,withheld_log_Jc_lower_95,withheld_log_Jc_upper_95
As2Ba0.1Fe2K0.9,iron_pnictide_122,6.93,60.0,4.2,5.0,0.08333333333333333,H_below_validated_reduced_field,5.719457031347865,5.602706643340798,5.784813931543852
As2Ba0.1Fe2K0.9,iron_pnictide_122,6.93,60.0,5.3361,0.1,0.0016666666666666668,H_below_validated_reduced_field,5.416476105744458,5.302118502903439,5.488761645622601
As2Ba0.1Fe2K0.9,iron_pnictide_122,6.93,60.0,5.3361,1.0,0.016666666666666666,H_below_validated_reduced_field,5.412812490461079,5.298475982615099,5.484712894783706
As2Ba0.1Fe2K0.9,iron_pnictide_122,6.93,60.0,5.3361,5.0,0.08333333333333333,H_below_validated_reduced_field,5.393241481509729,5.277014926603492,5.468278850095436
As2Ba0.2Fe2K0.8,iron_pnictide_122,12.8,60.0,4.2,0.1,0.0016666666666666668,H_below_validated_reduced_field,5.746354490991693,5.635326719245767,5.797653148949851
As2Ba0.2Fe2K0.8,iron_pnictide_122,12.8,60.0,4.2,1.0,0.016666666666666666,H_below_validated_reduced_field,5.741489109671595,5.632286576494953,5.795414182234453
As2Ba0.2Fe2K0.8,iron_pnictide_122,12.8,60.0,4.2,5.0,0.08333333333333333,H_below_validated_reduced_field,5.718019243994539,5.612542044381007,5.782726088382468
As2Ba0.2Fe2K0.8,iron_pnictide_122,12.8,60.0,9.856000000000002,0.1,0.0016666666666666668,H_below_validated_reduced_field,5.090984368714182,4.9666029193448855,5.190827889408133
As2Ba0.2Fe2K0.8,iron_pnictide_122,12.8,60.0,9.856000000000002,1.0,0.016666666666666666,H_below_validated_reduced_field,5.086624899105612,4.963111784018548,5.186945272454145
As2Ba0.2Fe2K0.8,iron_pnictide_122,12.8,60.0,9.856000000000002,5.0,0.08333333333333333,H_below_validated_reduced_field,5.068016598238861,4.943101481955033,5.168940441039334
As2Ba0.3Fe2K0.7,iron_pnictide_122,19.7,60.0,4.2,0.1,0.0016666666666666668,H_below_validated_reduced_field,5.746354490991693,5.616211855142307,5.813389291270404
As2Ba0.3Fe2K0.7,iron_pnictide_122,19.7,60.0,4.2,1.0,0.016666666666666666,H_below_validated_reduced_field,5.741489109671595,5.612724326710553,5.808362898584841
As2Ba0.3Fe2K0.7,iron_pnictide_122,19.7,60.0,4.2,5.0,0.08333333333333333,H_below_validated_reduced_field,5.718019243994539,5.598721892753458,5.787825481520512
As2Ba0.3Fe2K0.7,iron_pnictide_122,19.7,60.0,15.169,0.1,0.0016666666666666668,H_below_validated_reduced_field,4.99501734588899,4.861504871952415,5.106809593607405
As2Ba0.3Fe2K0.7,iron_pnictide_122,19.7,60.0,15.169,1.0,0.016666666666666666,H_below_validated_reduced_field,4.990928493218245,4.857820776421295,5.10276688098164
